#options: 1916x1080 fps=24/1 timebase=1/24 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=12 lookahead_threads=4 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=3 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=24 scenecut=40 intra_refresh=0 rc_lookahead=50 rc=cbr mbtree=1 bitrate=2000 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 vbv_maxrate=2000 vbv_bufsize=4000 nal_hrd=none filler=0 ip_ratio=1.40 aq=1:1.00
in:0 out:0 type:I dur:2 cpbdur:2 q:38.65 aq:32.26 tex:963915 mv:333527 misc:294 imb:8160 pmb:0 smb:0 d:- ref:;
in:4 out:1 type:P dur:2 cpbdur:2 q:41.52 aq:35.83 tex:1644 mv:321 misc:1539 imb:0 pmb:192 smb:7968 d:- ref:0 ;
in:2 out:2 type:B dur:2 cpbdur:2 q:41.52 aq:39.78 tex:34 mv:10 misc:412 imb:0 pmb:2 smb:8158 d:- ref:0 ;
in:1 out:3 type:b dur:2 cpbdur:2 q:41.52 aq:41.00 tex:0 mv:0 misc:392 imb:0 pmb:0 smb:8160 d:- ref:0 ;
in:3 out:4 type:b dur:2 cpbdur:2 q:41.52 aq:41.00 tex:0 mv:0 misc:392 imb:0 pmb:0 smb:8160 d:- ref:0 ;
in:8 out:5 type:P dur:2 cpbdur:2 q:41.74 aq:36.21 tex:1020 mv:200 misc:1140 imb:0 pmb:118 smb:8042 d:- ref:0 ;
in:6 out:6 type:B dur:2 cpbdur:2 q:41.74 aq:38.00 tex:0 mv:0 misc:408 imb:0 pmb:0 smb:8160 d:- ref:0 ;
in:5 out:7 type:b dur:2 cpbdur:2 q:41.74 aq:41.00 tex:0 mv:0 misc:392 imb:0 pmb:0 smb:8160 d:- ref:0 ;
in:7 out:8 type:b dur:2 cpbdur:2 q:41.74 aq:41.00 tex:0 mv:0 misc:392 imb:0 pmb:0 smb:8160 d:- ref:0 ;
in:12 out:9 type:P dur:2 cpbdur:2 q:41.79 aq:37.67 tex:506 mv:109 misc:777 imb:0 pmb:55 smb:8105 d:- ref:0 ;
in:10 out:10 type:B dur:2 cpbdur:2 q:41.79 aq:38.00 tex:0 mv:0 misc:408 imb:0 pmb:0 smb:8160 d:- ref:0 ;
